City_ID,city_name,Lat,Lon,wind,temp_max,humidity,country,date,cloud
344,Tabou,4.42,-7.35,3.09,75.85,94,CI,1581231973,19
345,Mishkino,55.34,63.92,10.47,4.66,94,RU,1581231973,96
346,Praia da Vitoria,38.73,-27.07,21.79,59.0,87,PT,1581231973,20
347,Tay Ninh,11.3,106.1,7.27,94.12,31,VN,1581231974,75
348,Kungurtug,50.6,97.52,1.19,27.48,70,RU,1581231974,100
349,Dawson Creek,55.77,-120.24,16.11,30.2,46,CA,1581231974,1
350,Cabatuan,10.88,122.49,15.19,81.48,76,PH,1581231974,66
351,Margate,51.38,1.39,32.21,48.99,81,GB,1581231974,75
352,Almaznyy,48.04,40.05,8.95,14.0,85,RU,1581231974,75
353,Olavarria,-36.89,-60.32,1.99,57.99,75,AR,1581231974,2
354,Awjilah,29.11,21.29,3.76,49.89,60,LY,1581231784,0
355,Karratha,-20.74,116.85,23.2,82.4,81,AU,1581231975,37
356,Uyutnoye,45.2,33.3,13.51,27.01,61,UA,1581231975,0
357,Riyadh,24.69,46.72,6.93,64.4,34,SA,1581231975,75
358,Port Lincoln,-34.73,135.87,8.41,81.48,42,AU,1581231975,0
359,Cacak,43.89,20.35,2.57,28.4,100,RS,1581231975,0
360,Markova,48.68,24.41,7.09,14.0,100,UA,1581231975,0
361,Aguimes,27.91,-15.45,17.22,64.4,77,ES,1581231976,20
362,Mlowo,-9.0,32.98,4.23,64.98,91,TZ,1581231976,67
363,College,64.86,-147.8,2.35,24.01,92,US,1581231976,90
364,Vallenar,-28.57,-70.76,2.04,54.77,92,CL,1581231976,6
365,Naron,43.52,-8.15,17.22,55.99,81,ES,1581231976,20
366,Cabo San Lucas,22.89,-109.91,3.42,64.99,81,MX,1581231731,76
367,Freeport,40.66,-73.58,8.14,34.0,74,US,1581231976,90
368,Sirsa,29.53,75.02,3.27,66.31,27,IN,1581231976,18
369,Te Anau,-45.42,167.72,4.38,59.88,69,NZ,1581231977,13
370,Wittmund,53.57,7.78,21.92,48.2,76,DE,1581231977,75
371,Minervino Murge,41.08,16.08,5.82,46.99,93,IT,1581231977,0
372,Port Macquarie,-31.43,152.92,17.22,73.99,100,AU,1581231977,75
373,Shihezi,44.3,86.03,5.73,19.09,89,CN,1581231977,89
374,Thyolo,-16.07,35.14,1.25,73.63,90,MW,1581231977,97
375,Ayagoz,47.97,80.44,3.47,32.63,85,KZ,1581231977,100
376,Prikubanskiy,45.0,41.18,8.32,19.35,70,RU,1581231977,77
377,Hithadhoo,-0.6,73.08,7.49,83.28,70,MV,1581231978,98
378,San Vicente,-26.62,-54.13,1.97,67.84,97,AR,1581231978,58
379,Thinadhoo,0.53,72.93,10.6,82.33,77,MV,1581231978,75
380,Aripuana,-9.17,-60.63,2.21,70.09,97,BR,1581231978,99
381,City of San Pedro,14.35,121.02,11.41,84.2,58,PH,1581231978,75
382,Sakaiminato,35.55,133.23,5.82,42.8,35,JP,1581231978,40
383,Kununurra,-15.77,128.73,5.82,96.8,56,AU,1581231978,100
384,Biasca,46.36,8.97,1.12,37.99,100,CH,1581231978,93
385,Ruwi,23.6,58.55,4.7,75.2,53,OM,1581231978,13
386,Rantauprapat,2.1,99.83,3.18,88.27,56,ID,1581231979,99
387,Svelgen,61.77,5.3,20.8,39.99,93,NO,1581231979,100
388,Zhigansk,66.77,123.37,17.29,-11.96,94,RU,1581231979,100
389,Auki,-8.77,160.7,21.41,84.49,77,SB,1581231979,91
390,Mount Isa,-20.73,139.5,11.41,102.2,21,AU,1581231768,40
391,Safi,32.3,-9.24,7.74,52.59,92,MA,1581231979,100
392,Mahebourg,-20.41,57.7,11.41,82.99,65,MU,1581231979,40
393,Maple Creek,49.92,-109.48,8.39,18.36,94,CA,1581231979,99
394,Coquimbo,-29.95,-71.34,2.24,62.6,82,CL,1581231980,90
395,Korla,41.76,86.15,1.99,26.01,89,CN,1581231980,0
396,Half Moon Bay,37.46,-122.43,11.41,52.0,81,US,1581231980,1
397,Wanning,18.8,110.4,14.03,68.14,81,CN,1581231980,100
398,Leh,34.17,77.58,0.49,-1.5,34,IN,1581231980,0
399,Flinders,-34.58,150.86,21.92,70.0,100,AU,1581231980,90
400,Makakilo City,21.35,-158.09,5.82,69.8,77,US,1581231897,90
401,Tutoia,-2.76,-42.27,3.11,74.12,96,BR,1581231981,96
402,Torbay,47.67,-52.73,18.34,23.0,79,CA,1581231912,90
403,Amapa,1.0,-52.0,2.33,70.07,98,BR,1581231981,98
404,Erzin,36.96,36.2,16.11,37.0,34,TR,1581231981,2
405,Ambilobe,-13.2,49.05,2.13,84.11,73,MG,1581231981,0
406,Mount Gambier,-37.83,140.77,13.87,86.0,40,AU,1581231981,75
407,Auch,43.65,0.58,9.17,48.0,93,FR,1581231981,90
408,Gardendale,33.66,-86.81,4.05,39.2,69,US,1581231982,40
409,Sayyan,15.17,44.32,1.41,64.02,51,YE,1581231982,1
410,Timaru,-44.4,171.25,4.0,64.0,58,NZ,1581231982,0
411,Loa Janan,-0.58,117.09,0.81,85.35,78,ID,1581231982,99
412,Harper,4.38,-7.72,3.09,75.85,94,LR,1581231982,19
413,Sao Joao do Piaui,-8.36,-42.25,0.47,71.1,96,BR,1581231982,100
414,Eau Claire,44.81,-91.5,4.68,12.0,51,US,1581231982,1
415,La Romana,18.43,-68.97,13.87,77.0,73,DO,1581231982,40
416,Saint George's,12.06,-61.75,9.17,77.0,83,GD,1581231979,40
417,Saint-Pierre,-21.34,55.48,26.4,82.99,65,RE,1581231983,20
418,Derzhavinsk,51.1,66.32,11.65,10.6,93,KZ,1581231983,100
419,Atambua,-9.11,124.89,3.22,78.19,85,ID,1581231983,92
